"Chapter","Routing","Token"
"太玄經|玄首都序","taixuanjing/xuan-shou-du-xu","ctp:taixuanjing/xuan-shou-du-xu"
"太玄經|玄測都序","taixuanjing/xuan-ce-du-xu","ctp:taixuanjing/xuan-ce-du-xu"
"太玄經|中","taixuanjing/zhong","ctp:taixuanjing/zhong"
"太玄經|周","taixuanjing/zhou","ctp:taixuanjing/zhou"
"太玄經|礥","taixuanjing/xian","ctp:taixuanjing/xian"
"太玄經|閑","taixuanjing/xian1","ctp:taixuanjing/xian1"
"太玄經|少","taixuanjing/shao","ctp:taixuanjing/shao"
"太玄經|戾","taixuanjing/li","ctp:taixuanjing/li"
"太玄經|上","taixuanjing/shang","ctp:taixuanjing/shang"
"太玄經|干","taixuanjing/gan","ctp:taixuanjing/gan"
"太玄經|𤕠","taixuanjing/9","ctp:taixuanjing/9"
"太玄經|羡","taixuanjing/xian2","ctp:taixuanjing/xian2"
"太玄經|差","taixuanjing/cha","ctp:taixuanjing/cha"
"太玄經|童","taixuanjing/tong","ctp:taixuanjing/tong"
"太玄經|增","taixuanjing/zeng","ctp:taixuanjing/zeng"
"太玄經|銳","taixuanjing/rui","ctp:taixuanjing/rui"
"太玄經|達","taixuanjing/da","ctp:taixuanjing/da"
"太玄經|交","taixuanjing/jiao","ctp:taixuanjing/jiao"
"太玄經|䎡","taixuanjing/ruan","ctp:taixuanjing/ruan"
"太玄經|傒","taixuanjing/xi","ctp:taixuanjing/xi"
"太玄經|從","taixuanjing/cong","ctp:taixuanjing/cong"
"太玄經|進","taixuanjing/jin","ctp:taixuanjing/jin"
"太玄經|釋","taixuanjing/shi","ctp:taixuanjing/shi"
"太玄經|格","taixuanjing/ge","ctp:taixuanjing/ge"
"太玄經|夷","taixuanjing/yi","ctp:taixuanjing/yi"
"太玄經|樂","taixuanjing/le","ctp:taixuanjing/le"
"太玄經|爭","taixuanjing/zheng","ctp:taixuanjing/zheng"
"太玄經|務","taixuanjing/wu","ctp:taixuanjing/wu"
"太玄經|事","taixuanjing/shi1","ctp:taixuanjing/shi1"
"太玄經|更","taixuanjing/geng","ctp:taixuanjing/geng"
"太玄經|斷","taixuanjing/duan","ctp:taixuanjing/duan"
"太玄經|毅","taixuanjing/yi1","ctp:taixuanjing/yi1"
