"Chapter","Routing","Token"
"尉繚子|天官","wei-liao-zi/tian-guan","ctp:wei-liao-zi/tian-guan"
"尉繚子|兵談","wei-liao-zi/bing-tan","ctp:wei-liao-zi/bing-tan"
"尉繚子|制談","wei-liao-zi/zhi-tan","ctp:wei-liao-zi/zhi-tan"
"尉繚子|戰威","wei-liao-zi/zhan-wei","ctp:wei-liao-zi/zhan-wei"
"尉繚子|攻權","wei-liao-zi/gong-quan","ctp:wei-liao-zi/gong-quan"
"尉繚子|守權","wei-liao-zi/shou-quan","ctp:wei-liao-zi/shou-quan"
"尉繚子|十二陵","wei-liao-zi/shi-er-ling","ctp:wei-liao-zi/shi-er-ling"
"尉繚子|武議","wei-liao-zi/wu-yi","ctp:wei-liao-zi/wu-yi"
"尉繚子|將理","wei-liao-zi/jiang-li","ctp:wei-liao-zi/jiang-li"
"尉繚子|原官","wei-liao-zi/yuan-guan","ctp:wei-liao-zi/yuan-guan"
"尉繚子|治本","wei-liao-zi/zhi-ben","ctp:wei-liao-zi/zhi-ben"
"尉繚子|戰權","wei-liao-zi/zhan-quan","ctp:wei-liao-zi/zhan-quan"
"尉繚子|重刑令","wei-liao-zi/zhong-xing-ling","ctp:wei-liao-zi/zhong-xing-ling"
"尉繚子|伍制令","wei-liao-zi/wu-zhi-ling","ctp:wei-liao-zi/wu-zhi-ling"
"尉繚子|分塞令","wei-liao-zi/fen-sai-ling","ctp:wei-liao-zi/fen-sai-ling"
"尉繚子|束伍令","wei-liao-zi/shu-wu-ling","ctp:wei-liao-zi/shu-wu-ling"
"尉繚子|經卒令","wei-liao-zi/jing-zu-ling","ctp:wei-liao-zi/jing-zu-ling"
"尉繚子|勒卒令","wei-liao-zi/le-zu-ling","ctp:wei-liao-zi/le-zu-ling"
"尉繚子|將令","wei-liao-zi/jiang-ling","ctp:wei-liao-zi/jiang-ling"
"尉繚子|踵軍令","wei-liao-zi/zhong-jun-ling","ctp:wei-liao-zi/zhong-jun-ling"
"尉繚子|兵教上","wei-liao-zi/bing-jiao-shang","ctp:wei-liao-zi/bing-jiao-shang"
"尉繚子|兵教下","wei-liao-zi/bing-jiao-xia","ctp:wei-liao-zi/bing-jiao-xia"
"尉繚子|兵令上","wei-liao-zi/bing-ling-shang","ctp:wei-liao-zi/bing-ling-shang"
"尉繚子|兵令下","wei-liao-zi/bing-ling-xia","ctp:wei-liao-zi/bing-ling-xia"
