"Chapter","Routing","Token"
"楚辭|離騷經","chu-ci/li-sao-jing","ctp:chu-ci/li-sao-jing"
"楚辭|天問","chu-ci/tian-wen","ctp:chu-ci/tian-wen"
"楚辭|遠遊","chu-ci/yuan-you","ctp:chu-ci/yuan-you"
"楚辭|卜居","chu-ci/bu-ju","ctp:chu-ci/bu-ju"
"楚辭|漁父","chu-ci/yu-fu","ctp:chu-ci/yu-fu"
"楚辭|九辯","chu-ci/jiu-bian","ctp:chu-ci/jiu-bian"
"楚辭|招䰟","chu-ci/zhao-hun","ctp:chu-ci/zhao-hun"
"楚辭|大招","chu-ci/da-zhao","ctp:chu-ci/da-zhao"
"楚辭|惜誓","chu-ci/xi-shi","ctp:chu-ci/xi-shi"
"楚辭|招隱士","chu-ci/zhao-yin-shi","ctp:chu-ci/zhao-yin-shi"
"楚辭|哀時命","chu-ci/ai-shi-ming","ctp:chu-ci/ai-shi-ming"
"楚辭|七諫|初放","chu-ci/qi-jian/chu-fang","ctp:chu-ci/chu-fang"
"楚辭|七諫|沈江","chu-ci/qi-jian/chen-jiang","ctp:chu-ci/chen-jiang"
"楚辭|七諫|怨世","chu-ci/qi-jian/yuan-shi","ctp:chu-ci/yuan-shi"
"楚辭|七諫|怨思","chu-ci/qi-jian/yuan-si","ctp:chu-ci/yuan-si"
"楚辭|七諫|自悲","chu-ci/qi-jian/zi-bei","ctp:chu-ci/zi-bei"
"楚辭|七諫|哀命","chu-ci/qi-jian/ai-ming","ctp:chu-ci/ai-ming"
"楚辭|七諫|謬諫","chu-ci/qi-jian/miu-jian","ctp:chu-ci/miu-jian"
"楚辭|九歌|東皇太一","chu-ci/jiu-ge/dong-huang-tai-yi","ctp:chu-ci/dong-huang-tai-yi"
"楚辭|九歌|雲中君","chu-ci/jiu-ge/yun-zhong-jun","ctp:chu-ci/yun-zhong-jun"
"楚辭|九歌|湘君","chu-ci/jiu-ge/xiang-jun","ctp:chu-ci/xiang-jun"
"楚辭|九歌|湘夫人","chu-ci/jiu-ge/xiang-fu-ren","ctp:chu-ci/xiang-fu-ren"
"楚辭|九歌|大司命","chu-ci/jiu-ge/da-si-ming","ctp:chu-ci/da-si-ming"
"楚辭|九歌|少司命","chu-ci/jiu-ge/shao-si-ming","ctp:chu-ci/shao-si-ming"
"楚辭|九歌|東君","chu-ci/jiu-ge/dong-jun","ctp:chu-ci/dong-jun"
"楚辭|九歌|河伯","chu-ci/jiu-ge/he-bo","ctp:chu-ci/he-bo"
"楚辭|九歌|山鬼","chu-ci/jiu-ge/shan-gui","ctp:chu-ci/shan-gui"
"楚辭|九歌|國殤","chu-ci/jiu-ge/guo-shang","ctp:chu-ci/guo-shang"
"楚辭|九歌|禮魂","chu-ci/jiu-ge/li-hun","ctp:chu-ci/li-hun"
"楚辭|九章|九章","chu-ci/jiu-zhang/jiu-zhang","ctp:chu-ci/jiu-zhang"
"楚辭|九章|惜誦","chu-ci/jiu-zhang/xi-song","ctp:chu-ci/xi-song"
"楚辭|九章|涉江","chu-ci/jiu-zhang/she-jiang","ctp:chu-ci/she-jiang"
"楚辭|九章|哀郢","chu-ci/jiu-zhang/ai-ying","ctp:chu-ci/ai-ying"
"楚辭|九章|抽思","chu-ci/jiu-zhang/chou-si","ctp:chu-ci/chou-si"
"楚辭|九章|懷沙","chu-ci/jiu-zhang/huai-sha","ctp:chu-ci/huai-sha"
"楚辭|九章|思美人","chu-ci/jiu-zhang/si-mei-ren","ctp:chu-ci/si-mei-ren"
"楚辭|九章|昔往日","chu-ci/jiu-zhang/xi-wang-ri","ctp:chu-ci/xi-wang-ri"
"楚辭|九章|橘頌","chu-ci/jiu-zhang/ju-song","ctp:chu-ci/ju-song"
"楚辭|九章|悲回風","chu-ci/jiu-zhang/bei-hui-feng","ctp:chu-ci/bei-hui-feng"
"楚辭|九懷|九懷","chu-ci/jiu-huai/jiu-huai","ctp:chu-ci/jiu-huai"
"楚辭|九懷|匡機","chu-ci/jiu-huai/kuang-ji","ctp:chu-ci/kuang-ji"
"楚辭|九懷|通路","chu-ci/jiu-huai/tong-lu","ctp:chu-ci/tong-lu"
"楚辭|九懷|危俊","chu-ci/jiu-huai/wei-jun","ctp:chu-ci/wei-jun"
"楚辭|九懷|昭世","chu-ci/jiu-huai/zhao-shi","ctp:chu-ci/zhao-shi"
"楚辭|九懷|尊嘉","chu-ci/jiu-huai/zun-jia","ctp:chu-ci/zun-jia"
"楚辭|九懷|蓄英","chu-ci/jiu-huai/xu-ying","ctp:chu-ci/xu-ying"
"楚辭|九懷|思忠","chu-ci/jiu-huai/si-zhong","ctp:chu-ci/si-zhong"
"楚辭|九懷|陶壅","chu-ci/jiu-huai/tao-yong","ctp:chu-ci/tao-yong"
"楚辭|九懷|株昭","chu-ci/jiu-huai/zhu-zhao","ctp:chu-ci/zhu-zhao"
"楚辭|九歎|九歎","chu-ci/jiu-tan/jiu-tan","ctp:chu-ci/jiu-tan"
"楚辭|九歎|逢紛","chu-ci/jiu-tan/feng-fen","ctp:chu-ci/feng-fen"
