"Chapter","Routing","Token"
"禮記|曲禮上","liji/qu-li-i","ctp:liji/qu-li-i"
"禮記|曲禮下","liji/qu-li-ii","ctp:liji/qu-li-ii"
"禮記|檀弓上","liji/tan-gong-i","ctp:liji/tan-gong-i"
"禮記|檀弓下","liji/tan-gong-ii","ctp:liji/tan-gong-ii"
"禮記|王制","liji/wang-zhi","ctp:liji/wang-zhi"
"禮記|月令","liji/yue-ling","ctp:liji/yue-ling"
"禮記|曾子問","liji/zengzi-wen","ctp:liji/zengzi-wen"
"禮記|文王世子","liji/wen-wang-shi-zi","ctp:liji/wen-wang-shi-zi"
"禮記|禮運","liji/li-yun","ctp:liji/li-yun"
"禮記|禮器","liji/li-qi","ctp:liji/li-qi"
"禮記|郊特牲","liji/jiao-te-sheng","ctp:liji/jiao-te-sheng"
"禮記|內則","liji/nei-ze","ctp:liji/nei-ze"
"禮記|玉藻","liji/yu-zao","ctp:liji/yu-zao"
"禮記|明堂位","liji/ming-tang-wei","ctp:liji/ming-tang-wei"
"禮記|喪服小記","liji/sang-fu-xiao-ji","ctp:liji/sang-fu-xiao-ji"
"禮記|大傳","liji/da-zhuan","ctp:liji/da-zhuan"
"禮記|少儀","liji/shao-yi","ctp:liji/shao-yi"
"禮記|學記","liji/xue-ji","ctp:liji/xue-ji"
"禮記|樂記","liji/yue-ji","ctp:liji/yue-ji"
"禮記|雜記上","liji/za-ji-i","ctp:liji/za-ji-i"
"禮記|雜記下","liji/za-ji-ii","ctp:liji/za-ji-ii"
"禮記|喪大記","liji/sang-da-ji","ctp:liji/sang-da-ji"
"禮記|祭法","liji/ji-fa","ctp:liji/ji-fa"
"禮記|祭義","liji/ji-yi","ctp:liji/ji-yi"
"禮記|祭統","liji/ji-tong","ctp:liji/ji-tong"
"禮記|經解","liji/jing-jie","ctp:liji/jing-jie"
"禮記|哀公問","liji/ai-gong-wen","ctp:liji/ai-gong-wen"
"禮記|仲尼燕居","liji/zhongni-yan-ju","ctp:liji/zhongni-yan-ju"
"禮記|孔子閒居","liji/kongzi-xian-ju","ctp:liji/kongzi-xian-ju"
"禮記|坊記","liji/fang-ji","ctp:liji/fang-ji"
"禮記|中庸","liji/zhong-yong","ctp:liji/zhong-yong"
"禮記|表記","liji/biao-ji","ctp:liji/biao-ji"
"禮記|緇衣","liji/zi-yi","ctp:liji/zi-yi"
"禮記|奔喪","liji/ben-sang","ctp:liji/ben-sang"
"禮記|問喪","liji/wen-sang","ctp:liji/wen-sang"
"禮記|服問","liji/fu-wen","ctp:liji/fu-wen"
"禮記|間傳","liji/jian-zhuan","ctp:liji/jian-zhuan"
"禮記|三年問","liji/san-nian-wen","ctp:liji/san-nian-wen"
"禮記|深衣","liji/shen-yi","ctp:liji/shen-yi"
"禮記|投壺","liji/tou-hu","ctp:liji/tou-hu"
"禮記|儒行","liji/ru-xing","ctp:liji/ru-xing"
"禮記|大學","liji/da-xue","ctp:liji/da-xue"
"禮記|冠義","liji/guan-yi","ctp:liji/guan-yi"
"禮記|昏義","liji/hun-yi","ctp:liji/hun-yi"
"禮記|鄉飲酒義","liji/xiang-yin-jiu-yi","ctp:liji/xiang-yin-jiu-yi"
"禮記|射義","liji/she-yi","ctp:liji/she-yi"
"禮記|燕義","liji/yan-yi","ctp:liji/yan-yi"
"禮記|聘義","liji/pin-yi","ctp:liji/pin-yi"
"禮記|喪服四制","liji/sang-fu-si-zhi","ctp:liji/sang-fu-si-zhi"
