"Chapter","Routing","Token"
"荀子|勸學","xunzi/quan-xue","ctp:xunzi/quan-xue"
"荀子|脩身","xunzi/xiu-shen","ctp:xunzi/xiu-shen"
"荀子|不苟","xunzi/bu-gou","ctp:xunzi/bu-gou"
"荀子|榮辱","xunzi/rong-ru","ctp:xunzi/rong-ru"
"荀子|非相","xunzi/fei-xiang","ctp:xunzi/fei-xiang"
"荀子|非十二子","xunzi/fei-shi-er-zi","ctp:xunzi/fei-shi-er-zi"
"荀子|仲尼","xunzi/zhong-ni","ctp:xunzi/zhong-ni"
"荀子|儒效","xunzi/ru-xiao","ctp:xunzi/ru-xiao"
"荀子|王制","xunzi/wang-zhi","ctp:xunzi/wang-zhi"
"荀子|富國","xunzi/fu-guo","ctp:xunzi/fu-guo"
"荀子|王霸","xunzi/wang-ba","ctp:xunzi/wang-ba"
"荀子|君道","xunzi/jun-dao","ctp:xunzi/jun-dao"
"荀子|臣道","xunzi/chen-dao","ctp:xunzi/chen-dao"
"荀子|致士","xunzi/zhi-shi","ctp:xunzi/zhi-shi"
"荀子|議兵","xunzi/yi-bing","ctp:xunzi/yi-bing"
"荀子|彊國","xunzi/qiang-guo","ctp:xunzi/qiang-guo"
"荀子|天論","xunzi/tian-lun","ctp:xunzi/tian-lun"
"荀子|正論","xunzi/zheng-lun","ctp:xunzi/zheng-lun"
"荀子|禮論","xunzi/li-lun","ctp:xunzi/li-lun"
"荀子|樂論","xunzi/yue-lun","ctp:xunzi/yue-lun"
"荀子|解蔽","xunzi/jie-bi","ctp:xunzi/jie-bi"
"荀子|正名","xunzi/zheng-ming","ctp:xunzi/zheng-ming"
"荀子|性惡","xunzi/xing-e","ctp:xunzi/xing-e"
"荀子|君子","xunzi/jun-zi","ctp:xunzi/jun-zi"
"荀子|成相","xunzi/cheng-xiang","ctp:xunzi/cheng-xiang"
"荀子|賦","xunzi/fu","ctp:xunzi/fu"
"荀子|大略","xunzi/da-lve","ctp:xunzi/da-lve"
"荀子|宥坐","xunzi/you-zuo","ctp:xunzi/you-zuo"
"荀子|子道","xunzi/zi-dao","ctp:xunzi/zi-dao"
"荀子|法行","xunzi/fa-xing","ctp:xunzi/fa-xing"
"荀子|哀公","xunzi/ai-gong","ctp:xunzi/ai-gong"
"荀子|堯問","xunzi/yao-wen","ctp:xunzi/yao-wen"
