"Chapter","Routing","Token"
"西遊記|靈根育孕源流出　心性修持大道生","xiyouji/ch1","ctp:xiyouji/ch1"
"西遊記|悟徹菩提真妙理　斷魔歸本合元神","xiyouji/ch2","ctp:xiyouji/ch2"
"西遊記|四海千山皆拱伏　九幽十類盡除名","xiyouji/ch3","ctp:xiyouji/ch3"
"西遊記|官封弼馬心何足　名注齊天意未寧","xiyouji/ch4","ctp:xiyouji/ch4"
"西遊記|亂蟠桃大聖偷丹　反天宮諸神捉怪","xiyouji/ch5","ctp:xiyouji/ch5"
"西遊記|觀音赴會問原因　小聖施威降大聖","xiyouji/ch6","ctp:xiyouji/ch6"
"西遊記|八卦爐中逃大聖　五行山下定心猿","xiyouji/ch7","ctp:xiyouji/ch7"
"西遊記|我佛造經傳極樂　觀音奉旨上長安","xiyouji/ch8","ctp:xiyouji/ch8"
"西遊記|陳光蕊赴任逢災　江流僧復讎報本","xiyouji/ch9","ctp:xiyouji/ch9"
"西遊記|老龍王拙計犯天條　魏丞相遺書託冥吏","xiyouji/ch10","ctp:xiyouji/ch10"
"西遊記|遊地府太宗還魂　進瓜果劉全續配","xiyouji/ch11","ctp:xiyouji/ch11"
"西遊記|唐王秉誠修大會　觀音顯聖化金蟬","xiyouji/ch12","ctp:xiyouji/ch12"
"西遊記|陷虎穴金星解厄　　雙叉嶺伯欽留僧","xiyouji/ch13","ctp:xiyouji/ch13"
"西遊記|心猿歸正　六賊無蹤","xiyouji/ch14","ctp:xiyouji/ch14"
"西遊記|蛇盤山諸神暗佑　鷹愁澗意馬收韁","xiyouji/ch15","ctp:xiyouji/ch15"
"西遊記|觀音院僧謀寶貝　黑風山怪竊袈裟","xiyouji/ch16","ctp:xiyouji/ch16"
"西遊記|孫行者大鬧黑風山　觀世音收伏熊羆怪","xiyouji/ch17","ctp:xiyouji/ch17"
"西遊記|觀音院唐僧脫難　高老莊大聖除魔","xiyouji/ch18","ctp:xiyouji/ch18"
"西遊記|雲棧洞悟空收八戒　浮屠山玄奘受心經","xiyouji/ch19","ctp:xiyouji/ch19"
"西遊記|黃風嶺唐僧有難　半山中八戒爭先","xiyouji/ch20","ctp:xiyouji/ch20"
"西遊記|護法設莊留大聖　須彌靈吉定風魔","xiyouji/ch21","ctp:xiyouji/ch21"
"西遊記|八戒大戰流沙河　木叉奉法收悟淨","xiyouji/ch22","ctp:xiyouji/ch22"
"西遊記|三藏不忘本　四聖試禪心","xiyouji/ch23","ctp:xiyouji/ch23"
"西遊記|萬壽山大仙留故友　五莊觀行者竊人參","xiyouji/ch24","ctp:xiyouji/ch24"
"西遊記|鎮元仙趕捉取經僧　孫行者大鬧五莊觀","xiyouji/ch25","ctp:xiyouji/ch25"
"西遊記|孫悟空三島求方　觀世音甘泉活樹","xiyouji/ch26","ctp:xiyouji/ch26"
"西遊記|屍魔三戲唐三藏　聖僧恨逐美猴王","xiyouji/ch27","ctp:xiyouji/ch27"
"西遊記|花果山群妖聚義　黑松林三藏逢魔","xiyouji/ch28","ctp:xiyouji/ch28"
"西遊記|脫難江流來國土　承恩八戒轉山林","xiyouji/ch29","ctp:xiyouji/ch29"
"西遊記|邪魔侵正法　意馬憶心猿","xiyouji/ch30","ctp:xiyouji/ch30"
"西遊記|豬八戒義激猴王　孫行者智降妖怪","xiyouji/ch31","ctp:xiyouji/ch31"
"西遊記|平頂山功曹傳信　蓮花洞木母逢災","xiyouji/ch32","ctp:xiyouji/ch32"
"西遊記|外道迷真性　元神助本心","xiyouji/ch33","ctp:xiyouji/ch33"
"西遊記|魔王巧算困心猿　大聖騰那騙寶貝","xiyouji/ch34","ctp:xiyouji/ch34"
"西遊記|外道施威欺正性　心猿獲寶伏邪魔","xiyouji/ch35","ctp:xiyouji/ch35"
"西遊記|心猿正處諸緣伏　劈破傍門見月明","xiyouji/ch36","ctp:xiyouji/ch36"
"西遊記|鬼王夜謁唐三藏　悟空神化引嬰兒","xiyouji/ch37","ctp:xiyouji/ch37"
"西遊記|嬰兒問母知邪正　金木參玄見假真","xiyouji/ch38","ctp:xiyouji/ch38"
"西遊記|一粒丹砂天上得　三年故主世間生","xiyouji/ch39","ctp:xiyouji/ch39"
"西遊記|嬰兒戲化禪心亂　猿馬刀歸木母空","xiyouji/ch40","ctp:xiyouji/ch40"
"西遊記|心猿遭火敗　木母被魔擒","xiyouji/ch41","ctp:xiyouji/ch41"
"西遊記|大聖慇懃拜南海　觀音慈善縛紅孩","xiyouji/ch42","ctp:xiyouji/ch42"
"西遊記|黑河妖孽擒僧去　西洋龍子捉鼉回","xiyouji/ch43","ctp:xiyouji/ch43"
"西遊記|法身元運逢車力　心正妖邪度脊關","xiyouji/ch44","ctp:xiyouji/ch44"
